age_in_months,gender,bmi_percentile,bmi
24,male,0.03,14.52095
24.5,male,0.03,14.50348
25.5,male,0.03,14.46882
26.5,male,0.03,14.4346
27.5,male,0.03,14.40083
28.5,male,0.03,14.36755
29.5,male,0.03,14.33478
30.5,male,0.03,14.30257
31.5,male,0.03,14.27093
32.5,male,0.03,14.23989
33.5,male,0.03,14.20948
34.5,male,0.03,14.17972
35.5,male,0.03,14.15063
36.5,male,0.03,14.12223
37.5,male,0.03,14.09453
38.5,male,0.03,14.06756
39.5,male,0.03,14.04132
40.5,male,0.03,14.01582
41.5,male,0.03,13.99107
42.5,male,0.03,13.96707
43.5,male,0.03,13.94383
44.5,male,0.03,13.92133
45.5,male,0.03,13.89959
46.5,male,0.03,13.87858
47.5,male,0.03,13.85832
48.5,male,0.03,13.83877
49.5,male,0.03,13.81995
50.5,male,0.03,13.80182
51.5,male,0.03,13.78439
52.5,male,0.03,13.76763
53.5,male,0.03,13.75152
54.5,male,0.03,13.73606
55.5,male,0.03,13.72123
56.5,male,0.03,13.70702
57.5,male,0.03,13.6934
58.5,male,0.03,13.68036
59.5,male,0.03,13.6679
60.5,male,0.03,13.656
61.5,male,0.03,13.64464
62.5,male,0.03,13.63383
63.5,male,0.03,13.62355
64.5,male,0.03,13.61379
65.5,male,0.03,13.60456
66.5,male,0.03,13.59584
67.5,male,0.03,13.58764
68.5,male,0.03,13.57996
69.5,male,0.03,13.57278
70.5,male,0.03,13.56612
71.5,male,0.03,13.55998
72.5,male,0.03,13.55435
73.5,male,0.03,13.54925
74.5,male,0.03,13.54467
75.5,male,0.03,13.54062
76.5,male,0.03,13.5371
77.5,male,0.03,13.53412
78.5,male,0.03,13.53168
79.5,male,0.03,13.5298
80.5,male,0.03,13.52846
81.5,male,0.03,13.52768
82.5,male,0.03,13.52747
83.5,male,0.03,13.52782
84.5,male,0.03,13.52874
85.5,male,0.03,13.53025
86.5,male,0.03,13.53233
87.5,male,0.03,13.535
88.5,male,0.03,13.53826
89.5,male,0.03,13.54212
90.5,male,0.03,13.54657
91.5,male,0.03,13.55163
92.5,male,0.03,13.55729
93.5,male,0.03,13.56356
94.5,male,0.03,13.57044
95.5,male,0.03,13.57793
96.5,male,0.03,13.58604
97.5,male,0.03,13.59477
98.5,male,0.03,13.60411
99.5,male,0.03,13.61408
100.5,male,0.03,13.62467
101.5,male,0.03,13.63588
102.5,male,0.03,13.64771
103.5,male,0.03,13.66017
104.5,male,0.03,13.67325
105.5,male,0.03,13.68696
106.5,male,0.03,13.70129
107.5,male,0.03,13.71624
108.5,male,0.03,13.73182
109.5,male,0.03,13.74801
110.5,male,0.03,13.76483
111.5,male,0.03,13.78227
112.5,male,0.03,13.80033
113.5,male,0.03,13.819
114.5,male,0.03,13.83828
115.5,male,0.03,13.85818
116.5,male,0.03,13.87868
117.5,male,0.03,13.89979
118.5,male,0.03,13.92151
119.5,male,0.03,13.94382
120.5,male,0.03,13.96673
121.5,male,0.03,13.99024
122.5,male,0.03,14.01433
123.5,male,0.03,14.03901
124.5,male,0.03,14.06427
125.5,male,0.03,14.09011
126.5,male,0.03,14.11653
127.5,male,0.03,14.14351
128.5,male,0.03,14.17106
129.5,male,0.03,14.19916
130.5,male,0.03,14.22782
131.5,male,0.03,14.25703
132.5,male,0.03,14.28678
133.5,male,0.03,14.31707
134.5,male,0.03,14.34789
135.5,male,0.03,14.37924
136.5,male,0.03,14.41111
137.5,male,0.03,14.44349
138.5,male,0.03,14.47638
139.5,male,0.03,14.50977
140.5,male,0.03,14.54365
141.5,male,0.03,14.57802
142.5,male,0.03,14.61287
143.5,male,0.03,14.64819
144.5,male,0.03,14.68398
145.5,male,0.03,14.72022
146.5,male,0.03,14.75692
147.5,male,0.03,14.79406
148.5,male,0.03,14.83163
149.5,male,0.03,14.86963
150.5,male,0.03,14.90804
151.5,male,0.03,14.94687
152.5,male,0.03,14.98609
153.5,male,0.03,15.02571
154.5,male,0.03,15.06571
155.5,male,0.03,15.10609
156.5,male,0.03,15.14683
157.5,male,0.03,15.18793
158.5,male,0.03,15.22938
159.5,male,0.03,15.27116
160.5,male,0.03,15.31327
161.5,male,0.03,15.3557
162.5,male,0.03,15.39843
163.5,male,0.03,15.44147
164.5,male,0.03,15.48479
165.5,male,0.03,15.52839
166.5,male,0.03,15.57226
167.5,male,0.03,15.61638
168.5,male,0.03,15.66076
169.5,male,0.03,15.70536
170.5,male,0.03,15.75019
171.5,male,0.03,15.79524
172.5,male,0.03,15.84049
173.5,male,0.03,15.88593
174.5,male,0.03,15.93155
175.5,male,0.03,15.97734
176.5,male,0.03,16.02329
177.5,male,0.03,16.06939
178.5,male,0.03,16.11562
179.5,male,0.03,16.16198
180.5,male,0.03,16.20844
181.5,male,0.03,16.25501
182.5,male,0.03,16.30166
183.5,male,0.03,16.34839
184.5,male,0.03,16.39519
185.5,male,0.03,16.44203
186.5,male,0.03,16.48892
187.5,male,0.03,16.53583
188.5,male,0.03,16.58276
189.5,male,0.03,16.62969
190.5,male,0.03,16.67661
191.5,male,0.03,16.72351
192.5,male,0.03,16.77038
193.5,male,0.03,16.8172
194.5,male,0.03,16.86396
195.5,male,0.03,16.91065
196.5,male,0.03,16.95725
197.5,male,0.03,17.00375
198.5,male,0.03,17.05015
199.5,male,0.03,17.09642
200.5,male,0.03,17.14256
201.5,male,0.03,17.18854
202.5,male,0.03,17.23437
203.5,male,0.03,17.28002
204.5,male,0.03,17.32548
205.5,male,0.03,17.37074
206.5,male,0.03,17.41579
207.5,male,0.03,17.46061
208.5,male,0.03,17.50518
209.5,male,0.03,17.54951
210.5,male,0.03,17.59356
211.5,male,0.03,17.63734
212.5,male,0.03,17.68082
213.5,male,0.03,17.72399
214.5,male,0.03,17.76683
215.5,male,0.03,17.80934
216.5,male,0.03,17.8515
217.5,male,0.03,17.89329
218.5,male,0.03,17.93471
219.5,male,0.03,17.97573
220.5,male,0.03,18.01634
221.5,male,0.03,18.05652
222.5,male,0.03,18.09626
223.5,male,0.03,18.13555
224.5,male,0.03,18.17437
225.5,male,0.03,18.2127
226.5,male,0.03,18.25052
227.5,male,0.03,18.28782
228.5,male,0.03,18.32459
229.5,male,0.03,18.3608
230.5,male,0.03,18.39643
231.5,male,0.03,18.43148
232.5,male,0.03,18.46591
233.5,male,0.03,18.49972
234.5,male,0.03,18.53287
235.5,male,0.03,18.56536
236.5,male,0.03,18.59716
237.5,male,0.03,18.62825
238.5,male,0.03,18.65861
239.5,male,0.03,18.68822
240,male,0.03,18.70274
240.5,male,0.03,18.71706
24,female,0.03,14.14735
24.5,female,0.03,14.13226
25.5,female,0.03,14.10241
26.5,female,0.03,14.07297
27.5,female,0.03,14.04396
28.5,female,0.03,14.01538
29.5,female,0.03,13.98723
30.5,female,0.03,13.9595
31.5,female,0.03,13.93221
32.5,female,0.03,13.90536
33.5,female,0.03,13.87893
34.5,female,0.03,13.85295
35.5,female,0.03,13.82741
36.5,female,0.03,13.8023
37.5,female,0.03,13.77763
38.5,female,0.03,13.75341
39.5,female,0.03,13.72964
40.5,female,0.03,13.70631
41.5,female,0.03,13.68343
42.5,female,0.03,13.66101
43.5,female,0.03,13.63905
44.5,female,0.03,13.61756
45.5,female,0.03,13.59654
46.5,female,0.03,13.57599
47.5,female,0.03,13.55592
48.5,female,0.03,13.53635
49.5,female,0.03,13.51728
50.5,female,0.03,13.4987
51.5,female,0.03,13.48065
52.5,female,0.03,13.46311
53.5,female,0.03,13.4461
54.5,female,0.03,13.42963
55.5,female,0.03,13.4137
56.5,female,0.03,13.39833
57.5,female,0.03,13.38352
58.5,female,0.03,13.36927
59.5,female,0.03,13.35561
60.5,female,0.03,13.34252
61.5,female,0.03,13.33003
62.5,female,0.03,13.31814
63.5,female,0.03,13.30685
64.5,female,0.03,13.29618
65.5,female,0.03,13.28612
66.5,female,0.03,13.27668
67.5,female,0.03,13.26788
68.5,female,0.03,13.2597
69.5,female,0.03,13.25217
70.5,female,0.03,13.24528
71.5,female,0.03,13.23904
72.5,female,0.03,13.23345
73.5,female,0.03,13.22851
74.5,female,0.03,13.22423
75.5,female,0.03,13.22062
76.5,female,0.03,13.21766
77.5,female,0.03,13.21538
78.5,female,0.03,13.21376
79.5,female,0.03,13.21281
80.5,female,0.03,13.21253
81.5,female,0.03,13.21293
82.5,female,0.03,13.214
83.5,female,0.03,13.21574
84.5,female,0.03,13.21816
85.5,female,0.03,13.22125
86.5,female,0.03,13.22502
87.5,female,0.03,13.22946
88.5,female,0.03,13.23458
89.5,female,0.03,13.24037
90.5,female,0.03,13.24683
91.5,female,0.03,13.25397
92.5,female,0.03,13.26177
93.5,female,0.03,13.27025
94.5,female,0.03,13.27939
95.5,female,0.03,13.28919
96.5,female,0.03,13.29966
97.5,female,0.03,13.31079
98.5,female,0.03,13.32257
99.5,female,0.03,13.33502
100.5,female,0.03,13.34811
101.5,female,0.03,13.36185
102.5,female,0.03,13.37624
103.5,female,0.03,13.39126
